targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,248833.0,248833.0,0.09797237068414688,0.09594246745109558,497.0,0.09864068031311035,0.09797462821006775
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,relu,1.0,0.001,constant,1.0,0.95,352577.0,352577.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,361153.0,361153.0,0.10216882079839706,0.10214430093765259,311.0,0.1022338941693306,0.10221390426158905
[0],250.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,361153.0,361153.0,0.09690085798501968,0.09590191394090652,187.0,0.09719080477952957,0.09690306335687637
[0],250.0,512.0,1e-05,1e-05,L2,64.0,2.0,relu,relu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.1070542186498642,0.10607301443815231,235.0,0.10918881744146347,0.10734451562166214
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,relu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,469185.0,469185.0,0.09745777398347855,0.09740080684423447,275.0,0.09756100177764893,0.09753980487585068
[0],250.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,244545.0,244545.0,0.12128812074661255,0.12069033831357956,115.0,0.12897436320781708,0.12678155303001404
[0],250.0,512.0,0.0,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,356865.0,356865.0,0.27860188484191895,0.12605789303779602,89.0,0.24668321013450623,0.27860820293426514
[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,relu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,460609.0,460609.0,0.12323909252882004,0.11656992882490158,235.0,0.14291435480117798,0.1277541071176529
[0],500.0,512.0,0.0,0.0,L2,64.0,2.0,relu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,244545.0,244545.0,0.11610425263643265,0.10675045847892761,155.0,0.13801872730255127,0.12116947025060654
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.0,0.95,356865.0,356865.0,0.3834898769855499,0.11173105984926224,83.0,0.4078887403011322,0.3988581895828247
[0],500.0,512.0,0.0,0.0,L2,64.0,2.0,leakyrelu,relu,2.0,0.001,constant,1.0,0.95,248833.0,248833.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,relu,leakyrelu,3.0,0.003,constant,1.0,0.95,253121.0,253121.0,0.9294378161430359,0.9294582605361938,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,248833.0,248833.0,0.09693016856908798,0.09669104963541031,243.0,0.09719012677669525,0.0970473662018776
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,361153.0,361153.0,0.10855869203805923,0.1080944836139679,153.0,0.11036211252212524,0.11055305600166321
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,244545.0,244545.0,0.10248839855194092,0.10104222595691681,317.0,0.11346426606178284,0.10274410247802734
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.10036341845989227,0.09378869831562042,217.0,0.09856288135051727,0.09655371308326721
[0],250.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,244545.0,244545.0,0.1007458046078682,0.10039085894823074,249.0,0.10073956847190857,0.10057070106267929
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,361153.0,361153.0,0.10090911388397217,0.10085605829954147,295.0,0.1009775847196579,0.1009536162018776
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,253121.0,253121.0,0.10055970400571823,0.10015027970075607,295.0,0.10241254419088364,0.10108622163534164
[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,relu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,464897.0,464897.0,0.15491749346256256,0.10806286334991455,117.0,0.11202085018157959,0.11257713288068771
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,relu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,460609.0,460609.0,0.11035872250795364,0.10645885020494461,335.0,0.11508819460868835,0.11036127060651779
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,361153.0,361153.0,0.11277367174625397,0.11171939224004745,139.0,0.11363698542118073,0.11316142976284027
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,relu,2.0,0.001,constant,1.0,0.95,356865.0,356865.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.0,0.95,356865.0,356865.0,0.10844017565250397,0.10631093382835388,87.0,0.11317670345306396,0.10844269394874573
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,356865.0,356865.0,0.09179165214300156,0.09098027646541595,133.0,0.09154900908470154,0.09139072895050049
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.0,0.95,244545.0,244545.0,0.1799004226922989,0.11405198276042938,129.0,0.1366143524646759,0.13276876509189606
[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,469185.0,469185.0,0.10493873804807663,0.10284511744976044,255.0,0.10804958641529083,0.10720214247703552
[0],500.0,512.0,0.0,1e-05,L2,64.0,4.0,relu,leakyrelu,1.0,0.001,constant,1.0,0.95,460609.0,460609.0,0.10621753334999084,0.10196265578269958,165.0,0.12374222278594971,0.11928841471672058
[0],250.0,512.0,1e-05,1e-05,L2,64.0,3.0,relu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,356865.0,356865.0,0.10872067511081696,0.10872312635183334,249.0,0.10969062149524689,0.11516697704792023
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,relu,leakyrelu,3.0,0.003,constant,1.0,0.95,469185.0,469185.0,0.10596272349357605,0.10124663263559341,111.0,0.10638739168643951,0.10680964589118958
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,464897.0,464897.0,0.11243511736392975,0.1101415827870369,297.0,0.11301925778388977,0.11190476268529892
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,464897.0,464897.0,0.1038786917924881,0.10166144371032715,297.0,0.10349170863628387,0.10185925662517548
[0],500.0,512.0,0.0,0.0,L2,64.0,2.0,leakyrelu,relu,1.0,0.003,constant,1.0,0.95,244545.0,244545.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,244545.0,244545.0,0.1433129459619522,0.13345952332019806,111.0,0.14287078380584717,0.14242534339427948
[0],250.0,512.0,1e-05,1e-05,L2,64.0,5.0,leakyrelu,relu,1.0,0.003,constant,1.0,0.95,568641.0,568641.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
